trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
1,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
2,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
3,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",86.7362,1,97,19,0,19,0,0,0,0,0,13,13,2,2,4,4,"True"
4,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
5,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
6,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
7,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
8,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
9,"[97]ADcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwncRtngmScbstjKMmreQjjLRGRiwISHfyLScEmcBPcArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
