trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
1,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
2,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
3,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",86.7362,1,97,19,0,19,0,0,0,0,0,13,13,2,2,4,4,"True"
4,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
5,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
6,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
7,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
8,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
9,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
10,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
11,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
12,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
13,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
14,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
15,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
16,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
17,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
18,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",86.7362,1,97,19,0,19,0,0,0,0,0,13,13,2,2,4,4,"True"
19,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
20,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
21,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
22,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",86.7362,1,97,19,0,19,0,0,0,0,0,13,13,2,2,4,4,"True"
23,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
24,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
25,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
26,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",516.988,0.965517,97,29,0,28,1,0,0,0,0,19,19,6,6,4,3,"True"
27,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",86.7362,1,97,19,0,19,0,0,0,0,0,13,13,2,2,4,4,"True"
28,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",108.42,1,97,20,0,20,0,0,0,0,0,13,13,3,3,4,4,"True"
29,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
30,"[97]zDcQoOudexNcJcRbGcpcAGHcNdoScQNcNHwflayeqKNsicCdcSRLwtcRtngmQcbstjKMmreQjjLRGRiwISHfyLScEmcBPlArj",22958.9,0.978261,97,46,0,45,1,0,0,0,0,31,31,6,6,9,8,"True"
