trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,98,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
1,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,98,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
2,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,98,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
3,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,98,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
4,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,98,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
5,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,98,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
6,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,98,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
7,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,98,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
8,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,98,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
9,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",7.45058,0.75,98,16,3,12,1,3,3,6,3,9,9,1,1,3,2,"True"
10,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,98,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
11,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.75,98,24,5,18,1,5,5,10,5,13,13,1,1,5,4,"True"
12,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",18.1899,0.8,98,20,3,16,1,3,3,6,3,12,12,2,2,3,2,"True"
13,"[98]ADcQoOuPeaNcJcRbGpccGHcNdsScQNcNHOwfGcyeqKSsicCdcSBLwbcwtrgmSwIsljKMmxfQjcRGRiwIrSIpyLScEmsFBPccre",22.7374,0.76,98,25,5,19,1,5,5,10,5,13,13,2,2,5,4,"True"
