trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",18.1899,0.928571,92,14,0,13,1,0,0,0,0,9,9,2,2,3,2,"True"
1,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
2,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
3,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
4,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",69.3889,0.95,92,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
5,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
6,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",69.3889,0.95,92,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
7,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
8,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",18.1899,0.928571,92,14,0,13,1,0,0,0,0,9,9,2,2,3,2,"True"
9,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",18.1899,0.928571,92,14,0,13,1,0,0,0,0,9,9,2,2,3,2,"True"
10,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
11,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",69.3889,0.95,92,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
12,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
13,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
14,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
15,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",69.3889,0.95,92,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
16,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
17,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",69.3889,0.95,92,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
18,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
19,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
20,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
21,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
22,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",18.1899,0.928571,92,14,0,13,1,0,0,0,0,9,9,2,2,3,2,"True"
23,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",69.3889,0.95,92,20,0,19,1,0,0,0,0,13,13,2,2,5,4,"True"
24,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
25,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
26,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",3.05176,0.833333,92,6,0,5,1,0,0,0,0,3,3,2,2,1,0,"True"
27,"[92]hxPNocQLGkcHcyNcJMqScKBRCsQCDSJooncpNuamSvPbLphBQGpxbcMLcdbJLMPFrvvEhuJMsFACEOzGAiCAblzenfJi",5.96046,0.888889,92,9,0,8,1,0,0,0,0,6,6,2,2,1,0,"True"
