trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",3.05176,1,92,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True"
1,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",11.6415,1,92,10,0,10,0,0,0,0,0,8,8,2,2,0,0,"True"
2,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",3.05176,1,92,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True"
3,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",3.05176,1,92,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True"
4,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",5.96046,1,92,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True"
5,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",11.6415,1,92,10,0,10,0,0,0,0,0,8,8,2,2,0,0,"True"
6,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",3.05176,1,92,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True"
7,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",3.05176,1,92,4,0,4,0,0,0,0,0,3,3,1,1,0,0,"True"
8,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",5.96046,1,92,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True"
9,"[92]ltPNocQhGkcHcyNcJMqScKBRCsQiwRJOjonnaMuamSbPbkhpCBQBpxucMhGcnJmMPFeEqhujKFACItzfyjvbpjLnfuim",5.96046,1,92,7,0,7,0,0,0,0,0,6,6,1,1,0,0,"True"
