trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",213821,1,93,54,0,54,0,0,0,0,0,37,37,6,6,11,11,"True"
1,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",4.76837,0.875,93,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True"
2,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
3,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",69.3889,0.95,93,20,0,19,1,0,0,0,0,13,13,4,4,3,2,"True"
4,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",2.44141,0.8,93,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True"
5,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",9.31323,0.909091,93,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True"
6,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",213821,1,93,54,0,54,0,0,0,0,0,34,34,11,11,9,9,"True"
7,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",213821,1,93,54,0,54,0,0,0,0,0,34,34,11,11,9,9,"True"
8,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",213821,1,93,54,0,54,0,0,0,0,0,34,34,11,11,9,9,"True"
9,"[93]CbxPMzBOjFcOtRojaMcHGaBNcJmaOxcRqyrGpJARLGjiHHcOzlySchHeHdKcCLuyiDlBmANyMiApRqvsoRcnHOFiftrJw",9.31323,0.909091,93,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True"
