trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3,did_repro
0,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",2.22276e+17,0.870833,99,240,31,209,31,31,0,31,31,112,112,49,49,79,48,"True"
1,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",4.70687e+19,0.876866,99,268,33,235,33,33,0,33,33,113,113,63,63,92,59,"True"
2,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",1.2459e+22,0.879599,99,299,36,263,36,36,0,36,36,135,135,58,58,106,70,"True"
3,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",5.1032e+21,0.87291,99,299,38,261,38,38,0,38,38,122,122,71,71,106,68,"True"
4,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",1.42257e+17,0.889381,99,226,25,201,25,25,0,25,25,107,107,46,46,73,48,"True"
5,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",2.58763e+18,0.898734,99,237,24,213,24,24,0,24,24,105,105,60,60,72,48,"True"
6,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",7.97376e+21,0.878788,99,297,36,261,36,36,0,36,36,125,125,67,67,105,69,"True"
7,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",1.32487e+18,0.875,99,248,31,217,31,31,0,31,31,120,120,54,54,74,43,"True"
8,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",9.10442e+16,0.878261,99,230,28,202,28,28,0,28,28,107,107,51,51,72,44,"True"
9,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",6.8494e+20,0.896296,99,270,28,242,28,28,0,28,28,126,126,65,65,79,51,"True"
10,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",1.05989e+18,0.883817,99,241,28,213,28,28,0,28,28,114,114,46,46,81,53,"True"
11,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",3.47306e+17,0.878151,99,238,29,209,29,29,0,29,29,100,100,66,66,72,43,"True"
12,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",2.63829e+24,0.886154,99,325,37,288,37,37,0,37,37,129,129,68,68,128,91,"True"
13,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",2.98334e+16,0.885845,99,219,25,194,25,25,0,25,25,99,99,49,49,71,46,"True"
14,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",7.42614e+22,0.887789,99,303,34,269,34,34,0,34,34,131,131,71,71,101,67,"True"
15,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",5.88359e+19,0.888889,99,261,29,232,29,29,0,29,29,119,119,58,58,84,55,"True"
16,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",1.77821e+17,0.873418,99,237,30,207,30,30,0,30,30,113,113,48,48,76,46,"True"
17,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",3.47306e+17,0.887931,99,232,26,206,26,26,0,26,26,110,110,49,49,73,47,"True"
18,"[99]xHRdcLPDpNHogQJMqRwtfocPApchoIpBxdNQmEopebveHcpvhNieQbnNIwNNKHOnocSdMpJymMNApRvRBaRsMGzQcuvHMNJiNdk",5.05397e+18,0.9,99,240,24,216,24,24,0,24,24,103,103,54,54,83,59,"True"
